Date,Open,High,Low,Close,Volume,Change,ma5,ma10,ma20,Kospi,S&P500,rsi,%K,%D,bb_upper,bb_sma,bb_lower,volume_ma5,momentum,high_low_diff
1999-08-05,3720,3800,3620,3660,824200,-0.0368421052631579,3776.0,3604.0,3445.0,939.070007,1313.709961,55.38461538461538,61.111111111111114,72.53086419753086,4013.340150188062,3445.0,2876.659849811938,1094546.8,-280.0,180
1999-08-06,3660,3740,3480,3540,753170,-0.032786885245901676,3728.0,3646.0,3465.0,938.26001,1300.290039,51.94174757281554,50.0,61.7283950617284,4016.0372993393075,3465.0,2913.9627006606925,856020.8,-240.0,260
1999-08-09,3540,3730,3490,3600,774547,0.016949152542372836,3698.0,3689.0,3495.5,948.969971,1297.800049,54.32692307692307,55.55555555555556,55.555555555555564,4001.525795057087,3495.5,2989.474204942913,779834.2,-150.0,240
1999-08-10,3640,4000,3600,4000,1108673,0.11111111111111116,3720.0,3752.0,3539.0,968.659973,1281.430054,64.01673640167364,92.5925925925926,66.04938271604938,4062.023598139248,3539.0,3015.976401860752,826787.6,110.0,400
1999-08-11,3900,3940,3700,3710,958530,-0.07250000000000001,3702.0,3767.0,3567.5,944.080017,1301.930054,55.252918287937746,65.74074074074075,71.2962962962963,4060.2206959429705,3567.5,3074.7793040570295,883824.0,-90.0,240
1999-08-12,3800,3860,3730,3800,740069,0.0242587601078168,3730.0,3753.0,3589.5,949.349976,1298.160034,64.52991452991454,72.54901960784314,76.9607843137255,4082.5026155583428,3589.5,3096.4973844416572,866997.8,140.0,130
1999-08-13,3699,3779,3610,3700,719845,-0.02631578947368418,3762.0,3745.0,3602.0,917.469971,1327.680054,61.087866108786606,56.81818181818182,65.03598072225523,4092.7824043515125,3602.0,3111.2175956484875,860332.8,160.0,169
1999-08-16,3680,3890,3640,3800,700220,0.027027027027026973,3802.0,3750.0,3619.0,907.280029,1330.77002,59.3886462882096,59.42028985507246,62.92916376036581,4112.618220255716,3619.0,3125.381779744285,845467.4,200.0,250
1999-08-17,3820,3870,3660,3680,759830,-0.03157894736842104,3738.0,3729.0,3632.0,873.700012,1344.160034,52.7027027027027,33.33333333333333,49.857268335529206,4117.173870082185,3632.0,3146.826129917815,775698.8,-320.0,210
1999-08-18,3600,3760,3540,3680,695577,0.0,3732.0,3717.0,3649.5,868.940002,1332.839966,42.93478260869565,33.33333333333333,42.028985507246375,4113.599580965799,3649.5,3185.400419034201,723108.2,-30.0,220
1999-08-19,3720,3760,3560,3560,509661,-0.03260869565217395,3684.0,3707.0,3655.5,871.179993,1323.589966,43.88888888888889,15.384615384615385,27.35042735042735,4111.2226765202,3655.5,3199.777323479799,677026.6,-240.0,200
1999-08-20,3560,3560,3460,3520,529333,-0.011235955056179803,3648.0,3705.0,3675.5,878.390015,1336.609985,43.646408839779,11.11111111111111,19.94301994301994,4062.1441312247284,3675.5,3288.8558687752716,638924.2,-180.0,100
1999-08-23,3590,3740,3560,3700,674482,0.051136363636363535,3628.0,3715.0,3702.0,917.580017,1360.219971,44.86486486486486,44.44444444444444,23.646723646723643,4006.7414780121853,3702.0,3397.2585219878147,633776.6,-100.0,180
1999-08-24,3800,3879,3730,3850,794226,0.04054054054054057,3662.0,3700.0,3726.0,932.409973,1363.5,51.30890052356021,72.22222222222221,42.59259259259259,3994.04555779313,3726.0,3457.95444220687,640655.8,170.0,149
1999-08-25,3850,4050,3850,3990,1126957,0.036363636363636376,3724.0,3728.0,3747.5,963.0,1381.790039,58.638743455497384,89.83050847457628,68.83239171374764,4028.1664999791114,3747.5,3466.8335000208886,726931.8,310.0,200
1999-08-26,4040,4350,3970,4240,1429694,0.06265664160400997,3860.0,3772.0,3762.5,959.880005,1362.01001,67.15686274509804,87.64044943820225,83.23106004500026,4110.479128230716,3762.5,3414.5208717692844,910938.4,680.0,380
1999-08-27,4300,4660,4220,4480,1298826,0.05660377358490565,4052.0,3850.0,3797.5,960.280029,1348.27002,69.81981981981983,85.0,87.49031930425951,4271.047641131334,3797.5,3323.952358868666,1064837.0,960.0,440
1999-08-30,4520,4620,4340,4340,879129,-0.03125,4180.0,3904.0,3827.0,942.570007,1324.02002,58.673469387755105,73.33333333333333,81.99126092384519,4358.100149144256,3827.0,3295.8998508557443,1105766.4,640.0,280
1999-08-31,4260,4490,4260,4480,1086024,0.032258064516129004,4306.0,3984.0,3856.5,937.880005,1320.410034,71.2707182320442,85.0,81.1111111111111,4462.584065734152,3856.5,3250.4159342658477,1164126.0,630.0,230
1999-09-01,4600,4680,4360,4370,1506536,-0.024553571428571397,4382.0,4053.0,3885.0,905.52002,1331.069946,65.57377049180329,74.59016393442623,77.64116575591986,4532.1150552543495,3885.0,3237.8849447456505,1240041.8,380.0,320
1999-09-02,4290,4560,4270,4500,1188782,0.029748283752860427,4434.0,4147.0,3927.0,898.969971,1319.109985,71.50537634408602,85.24590163934425,81.6120218579235,4620.036036125409,3927.0,3233.963963874591,1191859.4,260.0,290
1999-09-03,4560,4890,4460,4820,1819980,0.07111111111111112,4502.0,4277.0,3991.0,910.619995,1357.23999,74.51923076923077,95.1048951048951,84.98032022622186,4765.2133528876075,3991.0,3216.7866471123925,1296090.2,340.0,430
1999-09-07,4900,4960,4800,4820,948415,-0.01632653061224487,4682.0,4494.0,4097.0,943.919983,1350.449951,79.08163265306122,90.66666666666666,90.33915447030199,4886.407448117334,4052.0,3217.592551882666,1309947.4,480.0,160
1999-09-08,4779,4890,4699,4760,1279528,-0.012448132780082943,4760.0,4571.0,4149.5,936.929993,1344.150024,76.73267326732673,86.66666666666667,90.8127428127428,4981.692654154827,4090.0,3198.307345845172,1348648.2,280.0,191
1999-09-09,4760,4820,4619,4760,1093878,0.0,4812.0,4623.0,4197.5,950.530029,1347.660034,81.57894736842105,86.66666666666667,88.0,5063.160518037827,4142.5,3221.8394819621726,1266116.6,390.0,201
1999-09-10,4700,4790,4630,4630,1231084,-0.027310924369747913,4774.0,4638.0,4244.0,961.97998,1351.660034,77.8894472361809,76.42857142857142,83.25396825396825,5114.430573783759,4184.0,3253.569426216241,1274577.0,130.0,160
1999-09-13,4800,5030,4720,5000,1531271,0.079913606911447,4794.0,4704.0,4304.0,980.909973,1344.130005,79.81651376146789,97.6923076923077,86.92918192918192,5217.9038842125165,4249.0,3280.0961157874835,1216835.2,180.0,310
1999-09-14,4900,4970,4720,4740,1096282,-0.052000000000000046,4778.0,4730.0,4357.0,968.539978,1336.290039,69.43231441048034,75.42372881355932,83.18153597814614,5264.393134609023,4296.0,3327.6068653909765,1246408.6,-80.0,250
1999-09-15,4780,4810,4660,4660,709764,-0.016877637130801704,4758.0,4759.0,4406.0,952.690002,1317.969971,65.02242152466367,65.09433962264151,79.40345870950284,5280.780001136117,4345.0,3409.219998863883,1132455.8,-100.0,150
